Parent Ion,Daughter Ion,Neutral Loss,Hit,Hit Name,Diff.
1133.629,933.4471,200.18189999999993,200.17763,C12:0 acid,4.27,mDa
1115.613,933.4471,182.16590000000008,182.167065,C12:0 ketene,1.165,mDa
1115.613,915.4322,200.1808000000001,200.17763,C12:0 acid,3.17,mDa
1097.606,915.4322,182.17380000000003,182.167065,C12:0 ketene,6.735,mDa
1097.606,897.4373,200.16869999999994,200.17763,C12:0 acid,8.93,mDa
1053.654,853.4816,200.17240000000004,200.17763,C12:0 acid,5.23,mDa
1053.654,817.4509,236.20309999999995,236.214016,C16:1 ketene,10.916,mDa
1053.654,799.4314,254.22259999999994,254.22458,C16:0_(OH) ketene,1.98,mDa
1035.646,853.4816,182.1644,182.167065,C12:0 ketene,2.665,mDa
1035.646,835.4766,200.1694,200.17763,C12:0 acid,8.23,mDa
1035.646,799.4314,236.2145999999999,236.214016,C16:1 ketene,0.584,mDa
1035.646,791.438,244.20799999999997,244.203845,C14:0_(OH) acid,4.155,mDa
1017.628,817.4509,200.1771,200.17763,C12:0 acid,0.53,mDa
1017.628,791.438,226.19000000000005,226.19328,C14:0_(OH) ketene,3.28,mDa
999.6219,817.4509,182.17099999999994,182.167065,C12:0 ketene,3.935,mDa
999.6219,799.4314,200.19049999999993,200.17763,C12:0 acid,12.87,mDa
999.6219,791.438,208.1839,208.182715,C14:1 ketene,1.185,mDa
937.6742,737.4853,200.1889,200.17763,C12:0 acid,11.27,mDa
919.6652,737.4853,182.17989999999998,182.167065,C12:0 ketene,12.835,mDa
851.4579,651.2888,200.16909999999996,200.17763,C12:0 acid,8.53,mDa
848.3983,648.206,200.19229999999993,200.17763,C12:0 acid,14.67,mDa
768.4222,568.2446,200.17759999999998,200.17763,C12:0 acid,0.03,mDa
750.4163,568.2446,182.1717,182.167065,C12:0 ketene,4.635,mDa
750.4163,550.2417,200.17459999999994,200.17763,C12:0 acid,3.03,mDa
728.3501,528.1698,200.1803,200.17763,C12:0 acid,2.67,mDa
710.344,528.1698,182.17420000000004,182.167065,C12:0 ketene,7.135,mDa
708.412,508.2247,200.18730000000005,200.17763,C12:0 acid,9.67,mDa
690.3902,508.2247,182.16550000000007,182.167065,C12:0 ketene,1.565,mDa
690.3902,490.2155,200.17470000000003,200.17763,C12:0 acid,2.93,mDa
666.3855,484.229,182.1565,182.167065,C12:0 ketene,10.565,mDa
648.3846,466.2267,182.15789999999998,182.167065,C12:0 ketene,9.165,mDa
648.3846,448.203,200.1816,200.17763,C12:0 acid,3.97,mDa
630.3765,448.203,182.1735,182.167065,C12:0 ketene,6.435,mDa
630.3765,430.1882,200.18829999999997,200.17763,C12:0 acid,10.67,mDa
466.3843,266.2052,200.1791,200.17763,C12:0 acid,1.47,mDa
